RR,ActIndustryDistress1,ActIndustryDistress2,Senior secured,Senior unsecured,Senior subordinated,Subordinated \& Junior,Equity value,Default barrier,Net income margin,Total assets,Number of employees,Volume,Trades,Amihud,Price dispersion,Offering amount,Time to maturity,Coupon,Rating,CDS availability,Covenants,Roll,Corwin Schultz,Manufacturers inventories to sales ratio,Number of civilians unemployed for less than 5 weeks,30 year conventional mortgage rate,3 month commercial paper minus federal funds rate,Materials,Communication Services,Consumer Discretionary,Industrials,Consumer Staples,Financials,Energy,Health Care,Utilities,Information Technology,Real Estate,CBOE DJIA Volatility Index,NASDAQ 100 Index return,CBOE NASDAQ 100 Volatility Index,Russell 2000 Price Index return,Russell 2000 Vol 1m,Wilshire US Small-Cap Price Index,Wilshire Small Cap Vol
39.1,0,0,0,1,0,0,-28.282,0.6886706977760357,-0.07298805840490123,1400.607,0,98911000.0,0.75,0.006375141958940225,0.021233736009053965,150000.0,548,10.75,20.0,0,1,0.5219406225476059,0.06170665896287224,1.2,2685,5.68,0.01,0,0,0,1,0,0,0,0,0,0,0,15.43,0.017139898632077877,25.06,0.019029775868149468,22.5,3190.45,1024.2099733326302
38.26954124579125,0,0,0,1,0,0,-28.282,0.6886706977760357,-0.07298805840490123,1400.607,0,123970555.55555555,1.9,0.08890800903102135,0.05510793424298851,175000.0,1536,9.25,20.0,0,1,0.0,0.09964077616109027,1.2,2685,5.68,0.01,0,0,0,1,0,0,0,0,0,0,0,15.43,0.017139898632077877,25.06,0.019029775868149468,22.5,3190.45,1024.2099733326302
39.541666666666664,0,0,0,1,0,0,-28.282,0.6886706977760357,-0.07298805840490123,1400.607,0,126073625.0,0.95,0.006440647074495966,0.028860681512808,150000.0,1019,9.375,20.0,0,1,0.040469635004418004,0.0974051754393152,1.2,2685,5.68,0.01,0,0,0,1,0,0,0,0,0,0,0,15.43,0.017139898632077877,25.06,0.019029775868149468,22.5,3190.45,1024.2099733326302
31.98302186625985,0,0,0,0,1,0,-88.796,0.9978878009729664,-0.7313971875345702,162.39,0,359343333.3333333,5.5,0.002775996180597283,0.05164191511539809,120000.0,1641,10.125,16.0,0,1,0.11428571428571425,0.043799988787279955,1.2,2425,5.68,0.07,1,0,0,0,0,0,0,0,0,0,0,16.04,-0.015203472017574327,26.3,0.042825659722922405,23.54,3232.73,1027.4393253760531
35.56048768939394,0,0,0,1,0,0,1.0765,0.8711360009456824,-0.17792327495788704,203.028,0,5137890.625,2.7,0.3550157552137597,0.04993886387535751,125000.0,848,9.75,20.0,0,1,0.15511871585594536,0.057037868564005625,1.2,2425,5.68,0.04,0,0,1,0,0,0,0,0,0,0,0,16.32,-0.015203472017574327,26.65,0.042825659722922405,24.77,3222.23,1028.7172795709891
98.49859140128555,0,0,0,0,1,0,413.51,0.29911706293789825,-0.04427773924451363,2846.409,12000,1190806877.840909,25.5,0.039039248173308,0.007752141549249845,200000.0,173,5.0,16.0,0,1,0.02559174907871972,0.02003706809655672,1.2,2425,5.72,0.04,0,0,1,0,0,0,0,0,0,0,0,14.58,-0.015203472017574327,24.5,0.042825659722922405,22.93,3290.17,858.2577214661135
103.77891788803939,0,0,0,1,0,0,-1727.2,1.0808914337038285,-0.118525359809128,890.7,6100,1311318951.8507,37.05,0.0843199666768226,0.020954550639277904,250000.0,719,8.125,20.0,1,1,0.023609351548146792,0.023276444655184657,1.2,2425,5.66,0.02,0,0,0,0,1,0,0,0,0,0,0,14.29,-0.015203472017574327,24.14,0.042825659722922405,23.92,3269.56,621.444515966957
89.9911332197565,0,0,0,0,1,0,-1727.2,1.0808914337038285,-0.118525359809128,890.7,6100,2099138782.48035,52.39499999999994,0.07947954509002327,0.03705863531021025,650000.0,1449,8.625,21.0,1,1,0.03142572867759499,0.04447873053126236,1.2,2425,5.66,0.02,0,0,0,0,1,0,0,0,0,0,0,14.29,-0.015203472017574327,24.14,0.042825659722922405,23.92,3269.56,621.444515966957
104.52117464532671,0,0,0,1,0,0,-1727.2,1.0808914337038285,-0.118525359809128,890.7,6100,2449017109.4826427,21.7,0.06997652419819186,0.01612017037509277,250000.0,992,9.0,20.0,1,1,0.040199121188009,0.03357566150356492,1.2,2425,5.66,0.02,0,0,0,0,1,0,0,0,0,0,0,14.29,-0.015203472017574327,24.14,0.042825659722922405,23.92,3269.56,621.444515966957
15.91832083333333,0,0,0,0,1,0,-5.57,0.3861439224354372,-0.02467554559372405,426.174,1300,204423325.0,2.25,0.005304305751788066,0.027901199246558383,160000.0,1827,9.25,19.0,0,1,0.005804148380167711,0.0819101700698294,1.2,2425,5.66,0.02,0,0,0,0,1,0,0,0,0,0,0,14.29,-0.015203472017574327,24.14,0.042825659722922405,23.92,3269.56,621.444515966957
